Area,Boro,AreaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
All Downtown,Manhattan,submarket,0.1242544731610338,0.12087912087912088,0.13333333333333333,0.07203389830508475,0.07279029462738301,0.08013937282229965,0.07909604519774012,0.062381852551984876,0.08761682242990654,0.09715025906735753,0.07671957671957673,0.09143686502177067,0.08366013071895424,0.08786610878661087,0.07,0.07151979565772669,0.054120541205412064,0.07352941176470587,0.06712962962962964,0.10062111801242236,0.08187134502923976,0.10043668122270742,0.11931818181818182,0.10872675250357654,0.09974424552429667,0.08247422680412371,0.10146699266503667,0.1061130334486736,0.1020629750271444,0.12807377049180327,0.125,0.12913223140495864,0.09408926417370324,0.11708482676224613,0.09370988446726572,0.13690476190476192,0.15010351966873706,0.13498098859315588,0.15669755686604886,0.1226851851851852,0.1066768994627782,0.14802631578947367,0.13967766692248654,0.13665086887835706,0.14501779359430605,0.2180385288966725,0.1704331450094162,0.17725118483412322,0.1784776902887139,0.17866215071972905,0.17185185185185184,0.1277624309392265,0.12445820433436533,0.13414634146341464,0.16576250753465946,0.12414649286157665,0.16353514265831592,0.16945454545454544,0.19162141194724594,0.1656441717791411,0.18074792243767315,0.16371681415929204,0.1607717041800643,0.1217391304347826,0.1132300357568534,0.12256267409470753,0.1433466590519703,0.15106635071090047,0.1724137931034483,0.21531463229719489,0.22362204724409449,0.1992156862745098,0.21102248005801305,0.18225584594222832,0.17268041237113402,0.18331303288672351,0.16806722689075632,0.18630295995356932,0.2172910662824208,0.19058171745152355,0.2223684210526316,0.27796161482461945,0.2647657841140529,0.20474137931034486,0.2265880812049771,0.2370218579234973,0.21052631578947367,0.18659420289855072,0.1842247433819557,0.2100153295861012,0.2138570649208947,0.25754884547069273,0.2792251169004676,0.2839943342776204,0.289344262295082,0.2344161545215101,0.25194401244167963,0.19829787234042556,0.19206842923794712,0.15182481751824814,0.16970091027308193,0.16038882138517618,0.11686046511627908,0.1773794808405439,0.21316614420062696
All Midtown,Manhattan,submarket,0.07426376440460948,0.08654970760233917,0.1124260355029586,0.09698996655518397,0.0912280701754386,0.08685446009389672,0.0946822308690013,0.07785234899328859,0.08976377952755905,0.0802675585284281,0.0968342644320298,0.0898876404494382,0.07407407407407407,0.09760589318600367,0.08417508417508418,0.07108239095315025,0.07153284671532846,0.0876923076923077,0.07852564102564102,0.08623298033282904,0.10471204188481677,0.1224105461393597,0.11047619047619048,0.09523809523809523,0.13523131672597866,0.10191082802547773,0.1506849315068493,0.14513556618819776,0.125,0.08450704225352113,0.09779614325068872,0.12732474964234622,0.10823170731707316,0.13767019667170954,0.13106796116504854,0.13412563667232594,0.11043872919818457,0.08675078864353312,0.12177650429799428,0.12853470437017994,0.12174940898345152,0.09898762654668168,0.09146968139773896,0.10895361380798274,0.11966824644549764,0.1493212669683258,0.12573443008225618,0.17106773823191734,0.17391304347826084,0.1612223393045311,0.16682926829268294,0.15434985968194576,0.1156336725254394,0.13327120223671948,0.140536149471974,0.12292358803986712,0.14700704225352113,0.17045454545454544,0.14467253176930595,0.11953352769679303,0.12426614481409,0.14354995150339475,0.11131221719457013,0.10112359550561796,0.092560553633218,0.120870265914585,0.12003179650238475,0.1311612364243943,0.10638297872340426,0.1438721136767318,0.1784675072744908,0.16571969696969696,0.16991150442477876,0.15283842794759825,0.14001591089896578,0.14171337069655726,0.13421256788207914,0.13313609467455625,0.1520244461420932,0.17349926793557832,0.17140536149471974,0.19389438943894388,0.20016750418760468,0.15271389144434222,0.1902439024390244,0.16029292107404394,0.1956368754398311,0.14742193173565726,0.15800273597811218,0.16847090663058187,0.18667591950034695,0.20516836335160527,0.2116850127011008,0.22913117546848386,0.2684426229508197,0.21816283924843424,0.19589743589743588,0.17418677859391396,0.17395626242544732,0.16715257531584066,0.12762384550797648,0.13204373423044574,0.10060189165950127,0.18043844856661045,0.1986754966887417
All Upper East Side,Manhattan,submarket,0.13050314465408805,0.12280701754385966,0.14457831325301204,0.1046875,0.09028960817717206,0.07108239095315025,0.08274647887323944,0.07142857142857142,0.07434944237918216,0.09174311926605504,0.10456273764258556,0.07442748091603052,0.08969465648854963,0.0688976377952756,0.06782608695652173,0.06451612903225806,0.07954545454545454,0.07918968692449356,0.07592592592592592,0.09940357852882704,0.08114035087719297,0.12165450121654503,0.1339712918660287,0.14066496163682865,0.12850467289719625,0.15048543689320387,0.1206896551724138,0.1440501043841336,0.10782241014799154,0.11553030303030302,0.10726072607260724,0.10543657331136737,0.14314928425357873,0.13827655310621242,0.13100436681222707,0.09395973154362416,0.12573673870333987,0.13097713097713098,0.12546125461254612,0.1371610845295056,0.1375579598145286,0.12440944881889765,0.1368124118476728,0.12533333333333332,0.1672185430463576,0.14731369150779894,0.15779092702169625,0.14917127071823205,0.11311475409836065,0.12399355877616748,0.13043478260869565,0.1506849315068493,0.12350119904076738,0.13285024154589373,0.14788732394366194,0.12040557667934093,0.16990920881971466,0.16404199475065614,0.1490857946554149,0.15592203898050974,0.10225563909774436,0.10534591194968554,0.138268156424581,0.09814323607427056,0.12516644474034622,0.11557177615571775,0.12227602905569007,0.0992462311557789,0.10780141843971633,0.1406025824964132,0.16954022988505746,0.1456,0.16012084592145015,0.14601769911504425,0.155467720685112,0.13076923076923078,0.13070283600493218,0.14536928487690506,0.1836027713625866,0.20348837209302328,0.2364341085271318,0.21916010498687666,0.17903930131004367,0.22058823529411764,0.1874062968515742,0.16036308623298035,0.1557377049180328,0.15135135135135136,0.1263408820023838,0.1598173515981735,0.1882640586797066,0.199442119944212,0.2325925925925926,0.24238026124818576,0.28523489932885904,0.19926873857404026,0.2031746031746032,0.1728,0.20179372197309414,0.14730878186968838,0.1329032258064516,0.15070242656449553,0.13087674714104194,0.1981747066492829,0.18955223880597014
All Upper Manhattan,Manhattan,submarket,0.0958904109589041,0.0410958904109589,0.10588235294117647,0.08955223880597014,0.09433962264150944,0.06557377049180327,0.10909090909090907,0.02,0.043478260869565216,0.07547169811320754,0.04838709677419355,0.10638297872340426,0.10869565217391304,0.03508771929824561,0.09433962264150944,0.1129032258064516,0.10256410256410256,0.05333333333333334,0.02631578947368421,0.11827956989247312,0.10227272727272728,0.060240963855421686,0.06666666666666668,0.10526315789473684,0.08333333333333333,0.06741573033707865,0.06796116504854369,0.09473684210526316,0.11504424778761063,0.09090909090909093,0.06557377049180327,0.05263157894736842,0.10185185185185183,0.08620689655172414,0.049504950495049514,0.1020408163265306,0.07936507936507936,0.04201680672268908,0.1037037037037037,0.0967741935483871,0.07262569832402235,0.07142857142857142,0.05263157894736842,0.09782608695652174,0.043209876543209874,0.15,0.18617021276595744,0.06770833333333333,0.09045226130653268,0.07936507936507936,0.10550458715596332,0.10096153846153846,0.10400000000000001,0.11740890688259108,0.09540636042402828,0.1074074074074074,0.07929515418502202,0.13839285714285715,0.10576923076923077,0.09090909090909093,0.12350597609561753,0.06329113924050632,0.09782608695652174,0.08108108108108109,0.07191780821917808,0.07142857142857142,0.07076923076923076,0.08650519031141868,0.09342560553633218,0.09266409266409266,0.10465116279069768,0.10424710424710423,0.05426356589147287,0.10891089108910892,0.1443661971830986,0.060283687943262415,0.0950920245398773,0.0921409214092141,0.09281437125748504,0.09342560553633218,0.11785714285714285,0.13805970149253732,0.13095238095238096,0.12653061224489795,0.09163346613545817,0.0989399293286219,0.0781758957654723,0.13268608414239486,0.1274787535410765,0.09950248756218906,0.1266490765171504,0.15331010452961671,0.17407407407407408,0.19924812030075187,0.19574468085106386,0.16666666666666666,0.1902654867256637,0.1572052401746725,0.1228813559322034,0.13178294573643412,0.15666666666666668,0.11428571428571427,0.06840390879478828,0.14743589743589744,0.15867158671586715
All Upper West Side,Manhattan,submarket,0.07908163265306123,0.11722488038277512,0.10688836104513064,0.0761904761904762,0.09045226130653268,0.10440835266821344,0.09048723897911833,0.07692307692307693,0.08278145695364239,0.09195402298850576,0.13025210084033614,0.07792207792207792,0.09243697478991596,0.09126984126984126,0.07168458781362007,0.07241379310344828,0.0778816199376947,0.06733167082294264,0.06265664160401002,0.05063291139240506,0.10610932475884244,0.12460063897763578,0.10588235294117647,0.1471861471861472,0.18705035971223025,0.26384364820846906,0.1786743515850144,0.17222222222222222,0.12972972972972974,0.1198044009779951,0.12315270935960593,0.1108179419525066,0.13580246913580246,0.14953271028037382,0.1929260450160772,0.11073825503355704,0.13872832369942195,0.143646408839779,0.15776699029126215,0.15690866510538642,0.11790393013100435,0.11203319502074688,0.15637860082304528,0.16666666666666666,0.14613778705636746,0.21669980119284293,0.2350332594235033,0.2673684210526316,0.237791932059448,0.20210526315789476,0.2026266416510319,0.16370808678500987,0.109375,0.16666666666666666,0.18512898330804248,0.1517996870109546,0.16699410609037327,0.15184381778741865,0.22544642857142855,0.1955555555555556,0.19298245614035087,0.14730290456431536,0.1765704584040747,0.13722397476340695,0.15053763440860216,0.14327485380116958,0.14558823529411766,0.11464968152866242,0.1348747591522158,0.1814516129032258,0.18243243243243246,0.2781456953642384,0.1898989898989899,0.1919191919191919,0.21189591078066916,0.1518324607329843,0.21035058430717865,0.19298245614035087,0.21993127147766325,0.1996879875195008,0.2236842105263158,0.2525879917184265,0.27091633466135456,0.19491525423728812,0.2605363984674329,0.2534653465346535,0.2406779661016949,0.21774193548387094,0.22048364153627312,0.24930362116991645,0.2537537537537537,0.2617328519855596,0.30628803245436104,0.2811158798283262,0.2633832976445396,0.2505854800936768,0.2654462242562929,0.2540415704387991,0.2613390928725702,0.2230769230769231,0.1914893617021277,0.19130434782608696,0.1319796954314721,0.21513353115727,0.2358490566037736
Alley Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astoria,Queens,neighborhood,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05882352941176471,0.13333333333333333,0.05882352941176471,0.1875,,,,0.16666666666666666,0.17647058823529413,,0.0,0.1176470588235294,,0.21052631578947367,0.10526315789473684,0.0,0.0,0.04,0.037037037037037035,0.03225806451612903,0.0,0.08823529411764706,0.030303030303030307,0.03571428571428571,0.012345679012345678,0.03448275862068965,0.14893617021276595,0.07142857142857142,0.07407407407407407,0.07894736842105263,0.1320754716981132,0.04166666666666666,0.10344827586206896,0.027777777777777776,0.12698412698412698,0.016393442622950817,0.07246376811594203,0.05555555555555555,0.06896551724137931,0.19047619047619047,0.02127659574468085,0.018518518518518517,0.17391304347826084,0.0,0.08888888888888889,0.18032786885245905,0.0625,0.05263157894736842,0.019230769230769232,0.0392156862745098,0.03571428571428571,0.1973684210526316,0.1134020618556701,0.14545454545454545,0.18446601941747573,0.1348314606741573,0.13953488372093026,0.10576923076923077,0.07142857142857142,0.1532258064516129,0.08088235294117647,0.07913669064748201,0.12,0.16470588235294115,0.2,0.1855670103092784,0.1643835616438356,0.18309859154929575,0.12612612612612611,0.11510791366906475,0.16806722689075632,0.1391304347826087,0.1375,0.1360544217687075,0.13675213675213674,0.17073170731707318,0.14782608695652175
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battery Park City,Manhattan,neighborhood,0.18181818181818185,0.09090909090909093,0.0967741935483871,0.03225806451612903,0.030303030303030307,0.07317073170731707,0.1935483870967742,0.09090909090909093,0.0,0.0,0.0,,0.0,0.0,0.07692307692307693,,,,0.0,0.25,0.29411764705882354,0.17391304347826084,0.2380952380952381,0.0,,0.1176470588235294,0.14285714285714285,0.21428571428571427,0.17857142857142858,0.13043478260869565,0.20833333333333331,,,0.15384615384615385,0.0,0.10526315789473684,0.1153846153846154,0.14285714285714285,0.17142857142857146,0.05555555555555555,0.054054054054054064,0.08571428571428573,0.054054054054054064,0.10526315789473684,0.125,0.175,0.1176470588235294,0.11428571428571427,0.12903225806451613,0.20689655172413796,0.15625,0.02666666666666667,0.04065040650406504,0.027027027027027032,0.06521739130434782,0.05882352941176471,0.08333333333333333,0.2413793103448276,0.20833333333333331,0.027027027027027032,0.20512820512820512,0.09090909090909093,0.30952380952380953,0.2564102564102564,0.09523809523809523,0.22857142857142854,0.26666666666666666,0.2702702702702703,0.21428571428571427,0.2903225806451613,0.15,0.3,0.4583333333333333,0.3448275862068966,0.2,0.21428571428571427,0.19444444444444445,0.2368421052631579,0.29411764705882354,0.1,0.038461538461538464,0.3103448275862069,0.21875,0.14285714285714285,0.17857142857142858,0.2857142857142857,0.3125,0.17142857142857146,0.20689655172413796,0.43333333333333335,0.2647058823529412,0.13636363636363635,0.3,0.3793103448275862,0.53125,0.34375,0.2307692307692308,0.3809523809523809,0.375,0.15789473684210525,0.18181818181818185,0.12121212121212123,0.2058823529411765,0.0967741935483871,0.3333333333333333
Bay Ridge,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,0.05263157894736842,,0.0,0.10526315789473684,0.05882352941176471,,,,,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.043478260869565216,0.05,0.0,0.08,0.03448275862068965,0.0,0.0,0.0,0.08333333333333333,0.08,0.0,0.26666666666666666,0.10526315789473684,0.09090909090909093,0.0,0.0625,0.17647058823529413,0.0625,,,,0.05555555555555555,,0.1,0.057142857142857134,0.16666666666666666,0.027027027027027032,0.030303030303030307,0.125,0.1,0.08333333333333333,0.13043478260869565,0.15,0.10638297872340426,0.17073170731707318,0.027777777777777776,0.1276595744680851,0.13636363636363635,0.07462686567164177,0.07575757575757576,0.1111111111111111,0.02564102564102564,0.018867924528301886,0.05263157894736842
Baychester,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayside,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bedford Park,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15789473684210525,0.29411764705882354,,,,,,,,,,,0.2857142857142857,0.0,,,0.07692307692307693,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bedford-Stuyvesant,Brooklyn,neighborhood,,,,,,,0.08333333333333333,,,,,,,,,,,0.0,,,,,,,0.14285714285714285,0.3076923076923077,,,,,0.0,0.25,,0.2,,,0.0625,0.05555555555555555,0.1111111111111111,0.05882352941176471,0.2,0.1111111111111111,0.0,0.05263157894736842,0.0,0.13043478260869565,0.0,0.045454545454545456,0.08333333333333333,0.13043478260869565,0.0,0.028571428571428567,0.0,0.02564102564102564,0.07894736842105263,0.12244897959183673,0.14893617021276595,0.047619047619047616,0.15384615384615385,0.13043478260869565,0.022222222222222227,0.12280701754385966,0.1076923076923077,0.0784313725490196,0.078125,0.049180327868852465,0.10294117647058824,0.1095890410958904,0.18333333333333326,0.14285714285714285,0.13793103448275862,0.1176470588235294,0.1276595744680851,0.12,0.2222222222222222,0.06779661016949153,0.2,0.06976744186046513,0.11235955056179776,0.22105263157894736,0.11494252873563217,0.1774193548387097,0.11475409836065575,0.13432835820895522,0.16494845360824742,0.11688311688311688,0.18888888888888888,0.14423076923076922,0.12931034482758622,0.10869565217391304,0.1322314049586777,0.10227272727272728,0.17567567567567569,0.08333333333333333,0.11940298507462685,0.2692307692307692,0.12307692307692307,0.2278481012658228,0.0784313725490196,0.08695652173913042,0.09574468085106384,0.14285714285714285,0.06944444444444445,0.12790697674418605,0.1
Bellerose,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bensonhurst,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16666666666666666,0.0
Bergen Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boerum Hill,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.1,0.1,0.07142857142857142,,,,,,0.0,,0.0,0.06666666666666668,0.0,0.17647058823529413,0.0,0.2857142857142857,0.1875,,0.4545454545454545,0.0,,,,0.13333333333333333,0.14285714285714285,,0.14285714285714285,0.043478260869565216,0.17391304347826084,0.14285714285714285,0.16666666666666666,0.21052631578947367,0.05263157894736842,0.04166666666666666,0.047619047619047616,0.05,0.19047619047619047,0.21739130434782608,0.04166666666666666,0.1,0.20833333333333331,0.2,,0.07692307692307693,0.4,0.15,0.07692307692307693,,0.05,0.1176470588235294,0.043478260869565216,0.2
Borough Park,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Bowne Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Briarwood,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.07692307692307693,,,,0.08333333333333333,,0.13333333333333333,0.21052631578947367,0.21052631578947367,0.2352941176470588,0.0,,0.25,,,,,,,,,,,0.15384615384615385,
Brighton Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13333333333333333,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,,0.2,,,,,0.1,,,,,,0.16666666666666666,,,,,,0.18181818181818185,0.2857142857142857,,,,,,,
Bronx,Bronx,borough,,,0.0,,,0.0,,0.0,,,,,,,0.0625,,0.045454545454545456,0.0,0.05,0.05555555555555555,,0.2857142857142857,0.13043478260869565,0.0,0.1176470588235294,,,,0.043478260869565216,0.038461538461538464,0.0,0.037037037037037035,0.2307692307692308,0.10714285714285714,0.04,,0.2631578947368421,,0.13333333333333333,0.05555555555555555,0.05263157894736842,0.05,0.038461538461538464,0.0,0.05555555555555555,0.1176470588235294,0.09090909090909093,0.08333333333333333,0.1111111111111111,0.0,0.1176470588235294,0.07894736842105263,0.045454545454545456,0.1153846153846154,0.045454545454545456,0.03389830508474576,0.03636363636363636,0.03225806451612903,0.03125,0.08450704225352113,0.035294117647058816,0.07317073170731707,0.12222222222222222,0.042105263157894736,0.0547945205479452,0.0,0.08196721311475409,0.05660377358490566,0.09302325581395347,0.020408163265306117,0.047619047619047616,0.0379746835443038,0.02830188679245283,0.10679611650485436,0.07526881720430108,0.08860759493670886,0.054054054054054064,0.02631578947368421,0.06896551724137931,0.01492537313432836,0.04477611940298507,0.09210526315789473,0.09195402298850576,0.034883720930232565,0.10752688172043012,0.14285714285714285,0.07792207792207792,0.0641025641025641,0.075,0.0,0.03225806451612903,0.11864406779661014,0.1724137931034483,0.06944444444444445,0.125,0.11666666666666667,0.09433962264150944,0.07547169811320754,0.09375,0.07575757575757576,0.11594202898550725,0.0684931506849315,0.0,0.06944444444444445,0.14864864864864866
Bronxwood,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn,Brooklyn,borough,0.060606060606060615,0.044843049327354265,0.09210526315789473,0.07860262008733625,0.0845771144278607,0.04901960784313725,0.09268292682926828,0.08241758241758243,0.06349206349206349,0.09774436090225563,0.09302325581395347,0.044198895027624314,0.03825136612021858,0.020202020202020204,0.07373271889400923,0.05508474576271186,0.07142857142857142,0.04744525547445255,0.03663003663003663,0.032520325203252036,0.04017857142857143,0.1050228310502283,0.07960199004975124,0.05945945945945946,0.0576923076923077,0.08139534883720931,0.0891089108910891,0.12556053811659193,0.11969111969111967,0.1111111111111111,0.055350553505535055,0.08450704225352113,0.08247422680412371,0.07612456747404844,0.09737827715355804,0.05019305019305019,0.12203389830508475,0.09287925696594428,0.07394366197183097,0.09734513274336284,0.08123249299719887,0.1329639889196676,0.0960591133004926,0.09476309226932668,0.08443271767810026,0.11594202898550725,0.11645569620253166,0.0872210953346856,0.1064638783269962,0.1384335154826958,0.17064846416382254,0.11735537190082646,0.09880239520958084,0.12823834196891193,0.12049689440993787,0.08092485549132948,0.11827956989247312,0.11654135338345865,0.1328125,0.1064638783269962,0.11036789297658862,0.09229098805646037,0.09320175438596492,0.08766233766233766,0.09513960703205793,0.10689990281827016,0.0898876404494382,0.09590316573556797,0.12050534499514093,0.13284518828451886,0.14578313253012049,0.1211734693877551,0.11020881670533644,0.1523579201934704,0.12255965292841647,0.15401540154015406,0.13260219341974078,0.14169675090252706,0.14814814814814814,0.14419795221843004,0.1636197440585009,0.2001982160555005,0.1900097943192948,0.17012858555885266,0.1662292213473316,0.14695340501792115,0.16050354051927615,0.1261904761904762,0.14058355437665782,0.15439276485788114,0.14313346228239845,0.1419656786271451,0.17594254937163376,0.19273034657650046,0.22144288577154309,0.184,0.155893536121673,0.18396226415094336,0.15053763440860216,0.13542526837324526,0.12917933130699089,0.11641359363702095,0.07611152976639035,0.12301013024602026,0.12864963503649635
Brooklyn Heights,Brooklyn,neighborhood,,0.03225806451612903,0.13636363636363635,0.15,0.08333333333333333,0.08333333333333333,0.05263157894736842,0.07692307692307693,,,0.1875,0.0,,,,0.06666666666666668,0.09523809523809523,0.047619047619047616,0.04,0.045454545454545456,0.0,0.2857142857142857,0.06666666666666668,0.1,0.05263157894736842,0.125,0.2380952380952381,0.4,0.10714285714285714,0.08333333333333333,0.0,0.07142857142857142,0.0,0.2352941176470588,0.05882352941176471,0.05263157894736842,0.19230769230769232,0.16666666666666666,,0.35294117647058826,0.12121212121212123,0.1111111111111111,0.2058823529411765,0.1,0.03448275862068965,0.07142857142857142,0.3793103448275862,0.08108108108108109,0.09090909090909093,0.14634146341463414,0.14285714285714285,0.14035087719298245,0.17307692307692307,0.21518987341772156,0.13924050632911392,0.09722222222222222,0.13157894736842105,0.11320754716981132,0.12,0.10416666666666667,0.1973684210526316,0.12857142857142856,0.09375,0.15517241379310345,0.1,0.13043478260869565,0.07462686567164177,0.12121212121212123,0.19642857142857145,0.3818181818181817,0.375,0.20408163265306126,0.24,0.20930232558139536,0.1702127659574468,0.2363636363636364,0.1232876712328767,0.18055555555555555,0.2696629213483146,0.21794871794871795,0.1780821917808219,0.328125,0.09859154929577464,0.11666666666666667,0.14285714285714285,0.2280701754385965,0.14084507042253522,0.20512820512820512,0.19811320754716985,0.2377049180327869,0.2087912087912088,0.15841584158415842,0.14285714285714285,0.17567567567567569,0.1323529411764706,0.09615384615384616,0.18,0.16666666666666666,0.15384615384615385,0.19117647058823528,0.2058823529411765,0.17105263157894735,0.078125,0.15625,0.12
Brookville,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brownsville,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bushwick,Brooklyn,neighborhood,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.38461538461538464,,,,,,,,,0.14285714285714285,,0.2307692307692308,0.0,0.06666666666666668,0.06666666666666668,0.15,0.03571428571428571,0.037037037037037035,0.09375,0.1,0.13636363636363635,0.2380952380952381,0.1153846153846154,0.2,0.0,0.05,0.05263157894736842,0.0,0.1111111111111111,0.06818181818181818,0.08888888888888889,0.125,0.1111111111111111,0.05882352941176471,,0.1111111111111111,0.15789473684210525,0.0,,0.08333333333333333,0.3548387096774194,0.11904761904761905,0.16666666666666666,0.1891891891891892,0.15,0.3414634146341464,0.32432432432432434,0.14285714285714285,0.05263157894736842,0.10869565217391304,0.027027027027027032,0.2195121951219512,0.14545454545454545,0.21568627450980396,0.14285714285714285,0.3055555555555556,0.15625,0.24,0.2222222222222222,0.060606060606060615,0.125,0.0625,0.09302325581395347,0.14285714285714285,0.125,0.03333333333333333,0.19834710743801653,0.09210526315789473
Cambria Heights,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canarsie,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carroll Gardens,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3076923076923077,,,,,,,,,,,,,0.0,,,,,,,,,,,0.09090909090909093,,,,,0.25,0.07142857142857142,0.06666666666666668,,,,,0.25,0.1,0.125,0.0,,,,,,,,,0.4166666666666667,0.17647058823529413,0.2222222222222222,0.18181818181818185,0.08333333333333333,0.42857142857142855,,,0.17647058823529413,0.21739130434782608,0.3125,0.14285714285714285,,0.05,0.07407407407407407,0.03571428571428571,0.15789473684210525
